Grande_Comore,Moheli,Anjouan
0.0017138254173226612,0.0019802351057445038,0.0028470871498832533
0.00393420196772721,0.003116514136575023,0.003063090208383841
0.00834105483503292,0.003147397071808479,0.004827499743761271
0.00294985277919455,0.0014163553055338528,0.0027274601478870417
0.01587737847266101,0.00637093655289939,0.009048167558998685
0.013752313049959683,0.01229300561611267,0.011115549338304215
0.014613662961959142,0.01174137249711528,0.013465137249915353
0.022631511905842033,0.021867248002881038,0.017918137031937714
0.025747316089882944,0.02197587074059868,0.017776501501384323
0.009011782491625948,0.0034988235761890425,0.011370422298046898
0.010166520288343132,0.005531240193190044,0.011733385531106635
0.009287244074857592,0.009079050494232126,0.01144212750399121
0.00194473747903939,0.0016852498278250479,0.0019055126015302425
0.0017759462640566,1.7890803859375512e-4,0.0017179076443937444
0.0043008924515909736,0.0011826034336806998,0.005348427415658734
4.0733526644113477e-4,2.2949215664853223e-4,5.379665327159382e-4
0.0033680148217807237,0.0030467613000994924,0.002677053517965787
0.0022170042758675747,0.001862560473217069,0.004027560725961642
0.001881019239103723,1.3098624254186467e-4,0.0016520595468557699
5.624598951424591e-4,8.572676849284352e-5,0.0015326100329930807
0.0036505759303533856,0.004061105983197963,0.004963278165908305
0.007435865354052652,0.004636167535820721,0.006178894392424755
0.005817528552566745,0.005439123851890295,0.006855656645557645
0.002078386043584126,0.00449932418487254,0.006241015239158693
0.009023851684705684,0.004479623002051195,0.01565498584135351
0.0010766430179659666,0.0012273304433291499,0.006897366356936153
0.006162387996006877,0.0043864417319502864,0.008298990147387372
8.769688677497239e-4,5.079710381501248e-4,8.551378273260862e-4
3.808895345458277e-4,8.679169729399958e-5,1.703886081845518e-5
7.477575065431274e-4,4.5099734728841837e-4,7.676361774979883e-4
2.45998553066414e-4,1.0116823610961667e-5,2.861108712431913e-4
3.390023350337996e-4,2.5025826827108216e-5,2.044663298214379e-4
3.888765005544785e-4,2.3960898025952165e-5,7.277013474548423e-5
8.696918542755913e-6,8.838909049572671e-5,3.461018603748607e-5
0.0021392644733833842,0.0022400777332258898,0.0018969931711210186
0.003901721639292033,0.002830048289064805,0.003946448648940472
0.008216990629698573,0.0015670427308970385,0.007015218477597112
0.009124664944548194,0.001984494820949114,0.0041725685310520086
0.00652357634773136,0.0018817291916378223,0.01177882249328917
0.006061752224297892,6.948660427525157e-4,0.00159313348652529
0.0022757528480645294,0.002434427239436366,0.005695416716701175
0.0137746765547839,0.006875180340245465,0.015122521440776878
0.02214359702678032,0.006401287023732265,0.020153245097424877
0.014031501883995363,0.010931494143838228,0.0075964921148932675
0.009634943328434134,0.007309671291115996,0.007888105118275736
0.010744776627369352,0.0025233487943326673,0.003448239458134276
0.00981704615343134,0.002686815365309691,0.006097959803537103
0.015772660473880942,0.007890057487744512,0.01422159167500122
0.023461978882608054,0.015750829433457295,0.01685001344438099
0.00669219007458063,0.008277159106963722,0.004929555420538453
0.00508858478817734,0.002728347588554666,0.006577532740323124
0.005162597339857494,9.382022738160418e-4,0.0014012688141841767
0.0018870538356435956,3.210760335477271e-4,0.0015970382254628507
6.975283647553988e-4,3.19478640346052e-5,8.285146072972474e-4
1.9630187567926233e-4,4.376857372740024e-4,9.595008498391004e-4
5.487933088609946e-4,1.027656293112987e-4,0.001636795567372577
0.00837158279399931,0.008721766881445204,0.018245070173891757
0.0217286297705976,0.01340106403371263,0.024881883950812398
0.010964861912941026,0.004036612620771443,0.008290648205111665
0.005522365786513761,0.0011554477492512968,8.379214783741096e-4
0.0017910327554062702,8.748390101474164e-4,0.0016341332453696903
0.0012747197749804658,3.9189379882442407e-4,0.0010597816452810258
0.0030653975541196725,0.003325772646001649,0.002763490238992724
0.00993401083342468,0.010988467834699919,0.01066845672995337
0.0055647854504263725,0.007019478192801725,0.004133343653542871
0.0023490554472105746,0.005997679008095178,0.001940832740101835
0.0010583617402128247,2.0340140102029225e-4,3.6367318559385117e-4
0.004409692677442134,0.007182412299378178,0.009850413922534142
0.002168727503548632,0.0051787487600083275,0.002914000176222384
0.0012477415786845795,0.001686847221026775,0.0032272667318949694
0.004756859466618104,0.002342843362537185,0.0028490395193520313
0.0016898645192967136,0.00140996573272692,0.0015799993646444012
1.0684785638238996e-4,2.3055708544969175e-4,2.84335989907937e-4
1.4820259149383777e-4,1.8636254020189258e-5,9.602108023733467e-5
0.004880391207551877,0.008893752882831469,0.003470247986691436
0.006472459765276001,0.016374877710933114,0.010148593986857057
0.016882848749083215,0.008060978560329616,0.014848302274479912
0.016957038788896893,0.009084907602638477,0.02006432354252858
0.00970150137850621,0.002285337207274904,0.00632035243484461
0.010586989676665146,0.005743693489020131,0.012414939963844717
0.011827986706275743,0.006994452365974627,0.00816427665404148
0.0041179021859261465,0.005181943546411778,0.0047305912228563195
3.17171294610163e-4,5.329968649772192e-4,0.001104686143062989
0.0017791410504600623,4.919971061328222e-4,0.0010306735913828424
0.00151060150443591,0.0011687593592657163,0.004536241716645852
0.0016483322960517421,5.505681901962593e-4,8.751939864144603e-4
0.001363108865476189,1.3524595774648193e-4,4.3697578473989723e-4
8.015364110013681e-4,2.534530546744983e-4,6.611432973826619e-4
6.270655757457527e-4,8.412937529112333e-5,0.0010374181404568135
0.001829547680381318,0.00048826985532878647,0.0016722931940776839
0.0018316775379836198,0.001248629019352212,0.001684184899023893
0.0010081325984250995,3.892314768215374e-4,8.11653234612317e-4
0.007406047347620361,0.006395429915325917,0.008117242298657207
0.011699485297603254,0.009543891915935528,0.01046860509160361
0.002498500455639086,0.0011804735760784016,0.0023037959731615674
3.6473811439500375e-4,8.625923289342849e-5,5.214601362980529e-4
0.002488738608295187,0.0017321066950757927,0.0033495560558940637
0.0011776337659419958,0.0010196693271042646,0.0027304774461569723
0.0018565258766771997,9.96240893478887e-4,0.002941865813185891
0.0033832788012639232,9.435269178218013e-4,0.0016760204448817175
5.869532575689893e-4,1.4855756776089094e-4,0.0010384830692579717
0.0014452858712985205,1.746483233891448e-4,0.0015484064768768516
0.0027079364531992244,0.0010233965779083039,0.002249662092436277
0.0020906327247973908,8.94540192968897e-5,2.2469997704334504e-4
1.7997296739490887e-4,3.7272508040392394e-6,3.3066039275809686e-4
0.0022615537973824837,2.7102437989352107e-4,9.417520364865412e-4
0.0013052477339468547,2.619724850837085e-4,0.0010182494220360566
0.0017147128579902832,2.374791226571922e-4,8.047311974048246e-4
2.9303290845068597e-4,2.9498527791945936e-4,3.8426180908280916e-4
7.974541839302744e-4,3.0403717272927885e-4,8.118307227458476e-4
0.0019647936381277757,0.0014509654915713273,0.0016446050452476994
0.0015313676160583964,3.705952228013447e-4,0.001145685901907394
6.17658704668902e-4,2.4546608866584177e-4,9.222283417987335e-4
0.0025118120656535043,0.001694301722634843,0.0011233223970831842
0.006928781756570172,0.0038555747245753863,0.00427622160103093
0.0018606081037482829,5.058411805478058e-4,3.2622318941995357e-4
0.003482494667904698,0.0022597789160472247,0.001862205496950017
0.007665534998834704,0.006720233199677659,0.006427377779360509
0.004835664197903439,0.00142753705794596,0.0029239395116998127
0.0021190308261614804,6.72502537928308e-4,0.0018698374866916144
0.007836811047686859,0.006422053135354742,0.0015707699817010732
0.012556220518131047,0.013960151654318093,0.0021772469339578562
0.002754615832316449,0.0010217991847065594,0.0012307027178661348
0.0021701474086168264,4.1425730364863175e-4,0.0018694825104245613
7.972766957967566e-4,0.0010441626895307775,0.001177456277808464
6.558186533768955e-4,5.612174782077782e-4,9.33055117943791e-4
0.0014912552978816305,4.6910113690803654e-4,0.0013462474927912564
1.1234998852168582e-4,1.3311610014415942e-5,5.324644005780255e-7
6.58835951646832e-4,2.6090755628256634e-4,2.573577936120462e-4
0.001005470276422214,7.715409164355466e-4,6.927361851502093e-4
0.010676798672229064,0.004580791238160752,0.005129939523288786
0.0017141803935897064,1.7305093018742113e-4,0.0011900579352887807
6.661129651213821e-4,3.807120464122994e-4,7.834326213817545e-4
0.0018121538432958096,8.972025149716241e-4,9.898513206719635e-4
0.001799197209548448,8.929427997670207e-4,9.536437414327572e-4
0.0020638320166350387,4.8720492652763736e-4,2.997774575246558e-4
3.549762670508605e-7,0,4.614691471664656e-6
3.4113219263610245e-4,5.60152549406636e-4,3.3651750116444126e-4
0.002224281289342126,0.0017917427079403685,0.0013790827974934847
7.287662762558862e-4,7.113724391703893e-4,2.1493812969943424e-4
0.006562623737106979,0.0022198440860039838,0.0024014144466006095
0.0012340749924031197,9.792020326604388e-4,8.205276412886001e-4
0.001237269778806574,0.0011698242880668688,0.0015549735378172953
0.0021910910083728467,0.0011330842444270822,0.0017070808682486855
0.0017578424744369957,3.508940399800098e-4,0.0011119631565375324
0.0018084265924917773,0.0016234839573581634,4.36265832205799e-4
0.0035726586397356757,0.0024770243914825005,0.00286838572590632
0.0017232322883995177,8.194627124874475e-4,0.0015661552902294096
0.0022374154112230087,1.0489548691361081e-4,0.0012449017685481738
2.6356987828544026e-4,8.625923289342155e-5,1.345360052123721e-4
4.5206227608957095e-4,2.2416751264277626e-4,4.265039848618905e-4
0.009078518029831556,0.00835383398064676,0.0026009111086833293
0.0057651695531767124,0.010260056534711091,0.005592296111122832
0.003579403188809649,0.002683620578906233,0.00205637751502696
6.939786020850047e-5,1.970118282134184e-5,1.774881335255459e-6
0.001972958092269958,9.200984841964341e-4,1.3932818481755815e-4
