Day,Grande_Comore,Moheli,Anjouan
1,83448.4606355103,81825.8126146778,82643.25325303119
2,86216.51818626297,82799.46292028691,84010.49722202073
3,87498.93515892577,84730.91577559005,85335.78316326678
4,88541.17662028257,85914.77042648691,86717.45131173277
5,90869.39713788939,88762.4689040247,88572.26601436615
6,93144.60053644338,90831.68902795647,89879.09089748676
7,91669.90866809757,88878.73413226512,89634.40048333604
8,90785.01364619248,87799.54624902086,89519.13945356268
9,89959.72052092032,87631.45686567828,89379.57111324847
10,88016.63448712292,86177.6062715432,87562.95371063259
11,86503.91370803078,84800.38589649952,86143.39212321833
12,85790.08352273793,83921.80249052153,85696.2101574047
13,84556.9746670226,83078.42805402596,84507.1989040362
14,84123.55171133293,82920.59464305721,83964.07662772178
15,83587.75907890339,82592.0798209688,83779.66389513704
16,83114.40507181875,82036.49345192872,83223.6653473385
17,82518.47269884209,81597.84930423099,82771.82197365974
18,82591.25215239439,81946.50675694039,83015.81309589506
19,83303.17124231397,82316.88541993943,83415.80089302958
20,83576.51940002691,82743.6378191965,83843.73557732312
21,83142.70425224265,82913.00148962489,84070.22604242936
22,84005.22027105119,83041.33283128402,85872.81968143281
23,83303.86360331724,82579.53103280869,85762.92865016124
24,83636.0428806476,82765.52824469068,85919.38078204817
25,82982.37582190176,82240.90841555833,84756.41234120069
26,82387.93259796454,81759.84538979865,83706.49009914024
27,81988.4412987707,81448.16365050476,83018.60315569188
28,81590.84678105243,81129.43817611731,82399.95913551125
29,81297.30962079618,80883.84023897383,81904.1805919734
30,81077.34363219587,80692.41712176465,81495.41855550198
31,80840.48751211449,80554.46817217003,81170.53499541638
32,81023.48227642542,80818.12655984578,81238.72962519004
33,81469.93156908936,81125.19074516956,81645.27388479824
34,82561.77357859562,81146.51220817273,82491.08083802626
35,83568.58490883707,81235.10470401171,82659.55908113973
36,83904.11964473099,81286.37672546318,84102.41486587799
37,84085.7890792064,81121.64193377584,83469.64482915869
38,83574.41377325493,81293.31859328378,83684.25056433803
39,85159.0161212583,82192.7739855282,85476.97649627051
40,87836.20203309672,82811.543949143,87740.61752439065
41,88522.35328156709,84074.60995777616,87338.28229705723
42,88298.59988511476,84433.74659450962,87075.23046753803
43,88315.71613315324,83888.10975776483,86104.77733443405
44,88169.07310039723,83491.35687878772,85805.89580653087
45,89081.82181710379,84079.5856291472,86973.92277474512
46,91118.57176413102,85893.16443861605,88336.81050763409
47,89813.105556729,86016.86138686037,87342.73153908283
48,88519.89322746634,85156.3924955278,86852.71090549382
